"SOCCER NUMBER","NAME","TEAM","POSITION","MATCHES PLAYED","GOALS","ASSISTS","YELLOW CARDS","RED CARDS","CYCLE RC","MINUTES PLAYED","NATIONALITY","AGE","HEIGHT","WEIGHT"
"7","Ane Miren Martínez de Lahi...","Deportivo Alares","DEL","20","2","2","3","0","2","1353","Spain","30","0","0"
"16","Violeta García Quiles","Real Betis","DEL","19","1","1","4","0","1","1349","Spain","23","1.65","55"
"14","Nerea Pérez Machado","Villarreal CF","DEL","19","0","1","4","0","1","1331","Spain","29","1.63","52"
"3","Racheal Kundananji","Madrid CFF","DEL","18","12","3","5","0","5","1312","Zambia","22","1.75","72"
"19","Rita Chikwelu","FC Levante Las Planas","DEL","19","0","1","3","0","2","1300","Nigeria","35","1.6","55"
"10","Omorinsola Omowunmi Ajik...","Real Betis","DEL","17","5","1","4","0","1","1292","England","24","1.74","59"
"10","Alba Redondo ","Levante UD","DEL","17","6","5","3","0","2","1284","Macedonia","29","1.69","60"
"16","Rasheedat Ajibade Rasheed...","Atlético de Madrid","DEL","19","7","1","2","0","3","1258","Nigeria","23","1.6","53"
"18","Marta Cardona de Miguel","Atlético de Madrid","DEL","19","4","4","0","0","5","1249","Spain","27","1.61","53"
"17","María José Pérez González","UDG Tenerife Egatesa","DEL","20","4","0","2","0","3","1231","Spain","38","1.56","52"
"16","Fridolina Rolfö","FC Barcelona","DEL","17","5","8","2","0","3","1220","Sweden","29","1.78","74"
"6","Claudia Pina Medina","FC Barcelona","DEL","19","9","8","0","0","5","1211","Spain","21","1.65","55"
"8","Ludmila Da Silva","Atlético de Madrid","DEL","15","9","3","3","0","2","1183","Brasil","28","1.6","60"
"25","Daniela Arques Lázaro","Alhama CF El Pozo","DEL","19","0","0","4","0","1","1168","Spain","16","1.69","58"
"20","Synne Sofie Kinden Jensen","Real Sociedad","DEL","19","7","3","1","0","4","1156","Norway","27","1.73","64"
"10","Mari Paz Vilas Dono","FC Levante Las Planas","DEL","16","4","2","0","0","5","1144","Spain","35","1.6","62"
"10","Esther González Rodríguez","Real Madrid","DEL","19","16","4","2","0","3","1135","Spain","30","1.61","55"
